title,release_date,vote_average,runtime,genre_names,,,title,release_date,vote_average,runtime,genre_names
Flight 666,2018-05-29,5.8,89,"Horror, Science Fiction",,,,,,,
They Found Hell,2015-10-17,4.7,90,"Horror, Science Fiction",,,,,,,
Dementia 13,2017-10-06,4.8,83,"Fantasy, Horror, Thriller",,,,,,,
The Cleaning Lady,2018-08-24,5.4,90,"Horror, Thriller",,,,,,,
The Devil and Father Amorth,2018-04-20,5.1,68,"Documentary, Horror",,,,,,,
Alpha Wolf,2018-11-13,6.2,90,"Horror, Thriller",,,,,,,
Spellbinder,1988-09-23,6.1,99,"Horror, Mystery, Thriller",,,,,,,
Crazy Eights,2006-10-31,4.6,80,Horror,,,,,,,
Simon Says,2007-09-25,5.3,87,"Horror, Thriller",,,,,,,
Purgatory,2014-03-28,4.4,83,"Horror, Mystery",,,,,,,
Awaken,2015-07-07,3.9,95,"Action, Horror, Thriller",,,,,,,
Zombie Tidal Wave,2019-08-17,4.0,86,"Action, Adventure, Comedy, Horror, Science Fiction, Thriller",,,,,,,
Bunny the Killer Thing,2015-07-25,4.4,88,"Action, Comedy, Horror",,,,,,,
Castle of Blood,1964-02-27,7.1,87,Horror,,,,,,,
Paranormal Sexperiments,2016-10-11,6.8,81,"Horror, Romance",,,,,,,
Phantasm: Ravager,2016-10-07,4.9,87,"Action, Fantasy, Horror, Science Fiction",,,,,,,
Trophy Heads,2014-06-04,5.8,87,"Comedy, Horror",,,,,,,
A Beginner's Guide to Snuff,2016-03-04,4.9,87,"Comedy, Horror",,,,,,,
Dylan Dog: Dead of Night,2011-03-16,4.7,107,"Action, Comedy, Horror, Mystery, Science Fiction, Thriller",,,,,,,
Exit Humanity,2011-10-16,5.3,114,"Drama, Horror",,,,,,,
Night Skies,2007-01-23,5.1,90,"Drama, Horror, Mystery, Science Fiction, Thriller",,,,,,,
Abigail Haunting,2020-08-10,6.5,85,Horror,,,,,,,
Wasting Away,2007-10-16,5.5,92,"Comedy, Horror",,,,,,,
The Dunwich Horror,1970-01-14,5.4,88,Horror,,,,,,,
The Death King,1990-01-25,6.5,80,"Drama, Horror",,,,,,,
Pin,1988-11-25,6.6,103,"Horror, Thriller",,,,,,,
Horny House of Horror,2010-12-03,4.7,75,"Comedy, Horror",,,,,,,
Gamera vs. Barugon,1966-04-17,6.5,106,"Action, Adventure, Fantasy, Horror, Science Fiction",,,,,,,
Scanners II: The New Order,1991-06-28,4.9,104,"Action, Horror, Science Fiction",,,,,,,
Demon,2015-09-09,6.0,94,"Drama, Horror, Thriller",,,,,,,
Saloum,2021-09-16,6.2,84,"Horror, Thriller",,,,,,,
2001 Maniacs: Field of Screams,2010-07-20,4.0,86,"Comedy, Horror",,,,,,,
The Night,2021-04-29,5.7,105,"Horror, Mystery",,,,,,,
Martyrs Lane,2021-08-19,6.2,97,Horror,,,,,,,
We’re All Going to the World’s Fair,2022-04-15,5.8,86,"Drama, Horror",,,,,,,
Mum & Dad,2008-08-22,5.8,84,"Horror, Thriller",,,,,,,
Krampus: The Reckoning,2015-11-03,3.0,89,Horror,,,,,,,
Miss ZOMBIE,2013-09-14,6.1,85,"Drama, Horror, Thriller",,,,,,,
Todd McFarlane's Spawn 3: The Ultimate Battle,1999-08-17,6.4,140,"Action, Animation, Horror",,,,,,,
The Boneyard,1991-06-12,5.9,98,Horror,,,,,,,
Of Unknown Origin,1983-11-24,5.8,88,Horror,,,,,,,
Madhouse,1974-05-22,6.3,92,"Crime, Horror, Mystery, Thriller",,,,,,,
End of the Line,2007-10-14,5.9,95,"Horror, Thriller",,,,,,,
Journey to the Seventh Planet,1962-03-10,4.8,77,"Adventure, Fantasy, Horror, Science Fiction",,,,,,,
Attack of the Puppet People,1958-04-01,4.8,79,"Horror, Science Fiction",,,,,,,
The Blood Spattered Bride,1972-09-30,5.8,96,"Drama, Horror, Thriller",,,,,,,
Lovely Molly,2011-09-14,5.1,100,"Horror, Thriller",,,,,,,
Parents,1989-01-27,5.9,81,"Comedy, Horror",,,,,,,
Bloody Pit of Horror,1965-11-28,5.0,87,Horror,,,,,,,
Road Games,2015-09-10,5.5,95,"Horror, Thriller",,,,,,,
13/13/13,2013-09-30,4.6,90,Horror,,,,,,,
Squirm,1976-07-30,5.0,92,Horror,,,,,,,
The Visitor,1979-03-14,5.2,109,"Horror, Science Fiction",,,,,,,
The Super,2018-11-08,5.2,90,"Horror, Thriller",,,,,,,
Vampire Girl vs. Frankenstein Girl,2009-08-15,5.5,84,"Comedy, Horror",,,,,,,
Tales That Witness Madness,1973-01-01,5.4,90,"Comedy, Horror, Science Fiction",,,,,,,
Meridian,1990-11-10,4.7,86,"Horror, Mystery, Romance",,,,,,,
The Abominable Snowman,1957-08-26,6.2,85,"Adventure, Horror",,,,,,,
Possessed,2000-10-22,5.6,89,Horror,,,,,,,
Evil Toons,1992-01-08,4.8,90,"Animation, Comedy, Horror",,,,,,,
Mothman,2010-04-24,3.8,86,"Horror, Science Fiction, Thriller, TV Movie",,,,,,,
Alien Predator,2018-09-11,4.6,87,"Action, Adventure, Horror, Science Fiction",,,,,,,
The Nightmare,2022-10-01,10.0,100,"Drama, Horror",,,,,,,
Carnage Park,2016-07-01,5.3,81,"Action, Crime, Horror, Thriller",,,,,,,
Darkness Rising,2017-06-30,3.8,81,Horror,,,,,,,
Devil's Playground,2010-08-21,5.3,93,"Action, Horror",,,,,,,
Demonoid: Messenger of Death,1981-02-27,5.0,80,Horror,,,,,,,
American Nightmare,2002-01-29,5.1,91,"Crime, Horror, Thriller",,,,,,,
Frankenstein Must Be Destroyed,1969-05-22,6.7,98,"Horror, Science Fiction",,,,,,,
Cannibal Women in the Avocado Jungle of Death,1989-03-15,4.5,90,"Action, Adventure, Comedy, Horror, Romance",,,,,,,
Surf Nazis Must Die,1987-07-03,3.6,83,"Action, Comedy, Drama, Horror",,,,,,,
Jacob's Ladder,2019-08-23,4.6,89,"Horror, Mystery, Thriller",,,,,,,
Nailbiter,2013-05-28,4.2,82,Horror,,,,,,,
National Theatre Live: Frankenstein,2011-03-17,8.3,130,"Drama, Horror, Science Fiction",,,,,,,
The Perilous Internet Ring,2020-10-30,6.8,95,"Horror, Thriller",,,,,,,
Teenage Caveman,2002-04-03,3.6,90,"Comedy, Horror, Science Fiction",,,,,,,
Demon City Shinjuku,1988-10-26,6.2,80,"Action, Animation, Fantasy, Horror, TV Movie",,,,,,,
Alien Convergence,2017-06-27,4.2,86,"Action, Horror, Science Fiction",,,,,,,
Werewolves of the Third Reich,2018-02-05,3.4,90,Horror,,,,,,,
Juan of the Dead,2011-10-14,6.1,92,"Comedy, Horror",,,,,,,
Birdemic: Shock and Terror,2010-02-27,2.1,95,"Horror, Romance, Science Fiction, Thriller",,,,,,,
Baphomet,2021-06-08,6.4,72,"Horror, Thriller",,,,,,,
Erotic Vampires of Beverly Hills,2015-08-25,2.3,81,"Comedy, Horror",,,,,,,
You Are Not My Mother,2022-03-04,5.8,93,"Horror, Thriller",,,,,,,
Barricade,2012-09-25,4.6,82,Horror,,,,,,,
The Third Part of the Night,1971-12-17,6.8,102,"History, Horror, Thriller, War",,,,,,,
House,2008-11-06,4.8,101,"Horror, Thriller",,,,,,,
100 Tears,2007-06-23,4.3,90,Horror,,,,,,,
Albino Farm,2009-09-09,4.8,85,Horror,,,,,,,
Inseminoid,1981-01-23,4.0,93,"Horror, Science Fiction, Thriller",,,,,,,
Terror Firmer,1999-10-29,6.1,114,"Comedy, Fantasy, Horror, Thriller",,,,,,,
April Fool's Day,2008-03-25,4.4,91,Horror,,,,,,,
A Chinese Torture Chamber Story,1994-05-19,5.4,93,"Adventure, Comedy, Drama, Horror",,,,,,,
Stripperland,2011-02-22,3.6,103,"Comedy, Horror",,,,,,,
Crawlspace,2012-05-01,4.8,89,"Horror, Mystery, Science Fiction, Thriller",,,,,,,
The Call of Cthulhu,2005-01-01,7.1,47,"Fantasy, Horror, Science Fiction, Thriller",,,,,,,
Hydra,2009-02-20,4.6,94,"Action, Fantasy, Horror, Science Fiction, TV Movie",,,,,,,
The Cat,2011-07-07,6.7,106,"Horror, Mystery",,,,,,,
The Silent House,2010-08-25,5.6,86,"Drama, Horror, Mystery, Thriller",,,,,,,
Sono solo fantasmi,2019-11-14,5.3,94,"Comedy, Horror",,,,,,,
La Llorona,2012-01-01,6.0,11,Horror,,,,,,,
Anunnaki: los caídos del cielo,2018-11-11,5.2,0,"Action, Family, Horror",,,,,,,
Dark Touch,2013-09-27,5.0,90,"Drama, Horror",,,,,,,
Urotsukidōji II: Legend of the Demon Womb,1991-07-27,5.6,88,"Animation, Fantasy, Horror",,,,,,,
Felidae,1994-11-03,6.5,82,"Animation, Horror, Mystery, Thriller",,,,,,,
Pterodactyl,2005-08-27,4.8,89,"Action, Adventure, Horror, Science Fiction, Thriller",,,,,,,
The Third,2022-10-04,0.0,0,"Comedy, Horror",,,,,,,
The Night Before Halloween,2016-10-29,5.9,90,"Horror, Thriller, TV Movie",,,,,,,
The Backwoods,2006-09-24,5.3,97,"Horror, Thriller",,,,,,,
Paintball,2009-04-24,3.9,86,"Action, Horror, Thriller",,,,,,,
The Presence,2010-08-04,4.4,83,"Drama, Horror, Thriller",,,,,,,
Nocebo,2022-11-04,0.0,0,"Horror, Thriller",,,,,,,
Thr3e,2006-12-01,4.9,101,"Horror, Thriller",,,,,,,
At Midnight I'll Take Your Soul,1964-11-09,6.7,82,Horror,,,,,,,
Spontaneous Combustion,1990-02-23,4.8,97,"Horror, Science Fiction, Thriller",,,,,,,
The Bermuda Triangle,1978-02-10,4.0,112,"Adventure, Horror, Science Fiction",,,,,,,
Lust for a Vampire,1971-01-17,6.0,91,Horror,,,,,,,
The Beta Test,2021-10-15,6.3,93,"Comedy, Horror, Thriller",,,,,,,
Death Line,1972-10-13,5.9,87,Horror,,,,,,,
Big Bad Wolves,2013-04-21,6.6,106,"Comedy, Crime, Horror, Thriller",,,,,,,
I Bury the Living,1958-07-01,6.2,76,"Horror, Mystery, Thriller",,,,,,,
The Beast Must Die,1974-04-01,5.6,93,"Horror, Mystery",,,,,,,
Wedding Trough,1974-12-26,5.4,80,"Horror, Romance",,,,,,,
Ritual,2002-01-01,4.6,99,Horror,,,,,,,
The House That Screamed,1969-12-01,6.5,100,"Horror, Mystery, Thriller",,,,,,,
Breathing Room,2008-08-25,4.3,89,"Horror, Mystery, Thriller",,,,,,,
Microwave Massacre,1983-08-31,4.5,76,"Comedy, Horror",,,,,,,
The Last Broadcast,1998-10-23,5.1,86,"Horror, Mystery",,,,,,,
Jakob's Wife,2021-04-16,6.1,98,"Horror, Thriller",,,,,,,
The Witches,2021-10-08,2.0,14,Horror,,,,,,,
"Silent Night, Bloody Night",1972-11-01,5.2,85,"Horror, Mystery, Thriller",,,,,,,
Pod,2015-03-16,4.3,76,"Horror, Mystery, Thriller",,,,,,,
Dead and Deader,2006-12-16,5.3,89,"Action, Comedy, Horror, Science Fiction",,,,,,,
Sisters,2006-11-10,3.8,92,"Horror, Mystery, Thriller",,,,,,,
Game Over,1990-01-17,6.2,87,"Action, Horror, Thriller",,,,,,,
Snakehead Swamp,2014-06-28,5.1,86,"Horror, Science Fiction",,,,,,,
The Island,1980-06-13,5.2,114,"Action, Adventure, Horror, Mystery, Thriller",,,,,,,
"Butcher, Baker, Nightmare Maker",1981-11-20,6.9,96,"Horror, Thriller",,,,,,,
Jersey Shore Shark Attack,2012-06-09,5.0,86,"Action, Comedy, Drama, Horror, Science Fiction, TV Movie",,,,,,,
Abbott and Costello Meet Dr. Jekyll and Mr. Hyde,1953-08-01,6.6,76,"Comedy, Horror, Science Fiction",,,,,,,
Scared Topless,2015-10-01,4.4,80,"Comedy, Horror, Mystery, Romance",,,,,,,
Baghead,2008-01-21,5.8,84,"Comedy, Drama, Horror, Romance",,,,,,,
The Swimmers,2014-08-07,6.2,115,"Drama, Horror",,,,,,,
The 4th Man,1983-03-23,6.7,102,"Crime, Drama, Horror, Mystery, Romance, Thriller",,,,,,,
Mega Python vs. Gatoroid,2011-01-29,4.4,90,"Action, Horror, Science Fiction",,,,,,,
Creature,2011-09-09,5.2,93,Horror,,,,,,,
Return to... Return to Nuke 'Em High aka Vol. 2,2017-01-15,6.4,72,"Comedy, Horror",,,,,,,
Scream at the Devil,2015-10-30,5.2,98,"Horror, Mystery, Thriller",,,,,,,
Altar,2014-12-27,4.8,95,"Horror, Mystery",,,,,,,
Necromentia,2009-10-01,5.0,85,Horror,,,,,,,
Zombie Honeymoon,2004-01-01,4.9,83,Horror,,,,,,,
Siren,2010-11-11,3.9,86,Horror,,,,,,,
He Knows You're Alone,1980-09-12,5.3,94,Horror,,,,,,,
Red Snow,2021-04-14,6.4,80,"Comedy, Horror",,,,,,,
The Diary of Ellen Rimbauer,2003-05-12,5.5,88,"Drama, Horror, Mystery, Thriller",,,,,,,
Shakma,1990-10-05,4.7,101,"Horror, Science Fiction",,,,,,,
Incident at Loch Ness,2004-12-17,5.8,94,"Adventure, Comedy, Horror",,,,,,,
The Wrath Within,2022-10-31,0.0,90,Horror,,,,,,,
Lowlife,2017-07-21,6.3,98,"Comedy, Crime, Horror, Thriller",,,,,,,
Graduation Day,1981-05-01,5.2,96,Horror,,,,,,,
Dementia,2015-12-04,4.6,90,"Horror, Thriller",,,,,,,
Big Tits Zombie,2010-05-15,5.0,73,"Action, Comedy, Horror",,,,,,,
Manhattan Baby,1982-08-12,4.9,89,Horror,,,,,,,
Caved In: Prehistoric Terror,2006-01-07,3.4,93,"Horror, Science Fiction, TV Movie",,,,,,,
Agnes,2021-12-10,4.3,93,Horror,,,,,,,
Dark House,2014-03-14,5.0,102,"Horror, Thriller",,,,,,,
The Cursed,2010-02-06,4.8,89,"Horror, Thriller",,,,,,,
Room 6,2006-06-13,4.7,94,"Horror, Thriller",,,,,,,
Perfect Creature,2007-08-16,5.4,90,"Action, Drama, Fantasy, Horror, Science Fiction",,,,,,,
Jack & Diane,2012-11-02,4.1,110,"Drama, Horror, Romance",,,,,,,
Baxter,1989-01-18,6.5,82,"Comedy, Drama, Horror",,,,,,,
Muck,2015-03-13,3.0,99,Horror,,,,,,,
I Remember You,2017-05-05,6.1,105,"Drama, Horror, Mystery, Thriller",,,,,,,
Death Machine,1994-12-23,5.7,117,"Action, Horror, Science Fiction, Thriller",,,,,,,
The Comedy of Terrors,1964-01-22,6.5,84,"Comedy, Horror",,,,,,,
The Lost Tribe,2009-11-07,4.6,86,"Action, Adventure, Drama, Horror, Thriller",,,,,,,
Scarecrow Gone Wild,2004-06-15,3.6,87,Horror,,,,,,,
Blood from the Mummy's Tomb,1971-06-16,6.1,94,Horror,,,,,,,
Piggy,2018-03-11,6.7,15,"Drama, Horror",,,,,,,
Ænigma,1987-10-25,5.3,90,"Horror, Mystery, Romance, Thriller",,,,,,,
Epidemic,1987-09-11,5.7,106,"Drama, Horror, Mystery",,,,,,,
From the Dark,2014-04-14,5.6,90,Horror,,,,,,,
Skinned Deep,2004-02-14,4.3,97,"Comedy, Horror",,,,,,,
Bear,2010-01-01,4.5,90,"Action, Horror, Thriller",,,,,,,
Hillbillys in a Haunted House,1967-05-01,2.4,86,"Comedy, Horror, Music",,,,,,,
Monster Brawl,2011-01-01,4.5,89,"Comedy, Horror",,,,,,,
Earth vs. the Spider,2001-10-07,5.8,90,"Horror, Science Fiction",,,,,,,
Piranha Sharks,2014-05-08,6.4,79,"Comedy, Horror",,,,,,,
Carnosaur 2,1995-02-23,4.5,83,"Horror, Science Fiction",,,,,,,
A Creepshow Animated Special,2020-10-29,6.9,46,"Animation, Fantasy, Horror, Mystery",,,,,,,
The Harvesting,2018-12-06,6.2,91,"Horror, Thriller",,,,,,,
Bad Hair,2021-05-05,6.1,102,"Comedy, Horror",,,,,,,
Bigfoot,2012-10-28,3.2,89,"Adventure, Horror, Science Fiction, TV Movie",,,,,,,
The Lost Skeleton of Cadavra,2001-09-12,6.5,90,"Comedy, Horror, Science Fiction",,,,,,,
The Rift,1990-03-09,4.3,82,"Action, Horror, Mystery, Science Fiction, Thriller",,,,,,,
Babysitter Wanted,2007-07-19,5.5,93,"Horror, Thriller",,,,,,,
Mourning Grave,2014-07-02,7.2,90,"Comedy, Horror, Romance, Thriller",,,,,,,
Body,2007-10-07,6.0,125,"Drama, Horror, Mystery, Thriller",,,,,,,
Under Wraps,1997-10-25,5.3,91,"Comedy, Family, Horror, TV Movie",,,,,,,
Deadly Descent,2013-01-26,3.3,90,"Fantasy, Horror",,,,,,,
A Blood Pledge,2009-06-18,5.4,88,"Drama, Horror, Mystery",,,,,,,
Tetsuo: The Bullet Man,2009-09-05,5.2,71,"Action, Horror, Science Fiction, Thriller",,,,,,,
Vampire in Venice,1988-09-15,5.6,97,Horror,,,,,,,
Wrestlemaniac,2006-10-20,5.1,75,Horror,,,,,,,
Bug,1975-06-06,5.6,99,"Horror, Mystery, Science Fiction",,,,,,,
The New Kids,1985-01-18,6.4,86,"Crime, Drama, Horror, Mystery",,,,,,,
"Gappa, the Triphibian Monster",1967-04-22,5.1,84,"Action, Horror, Science Fiction",,,,,,,
Massacre at Central High,1976-09-01,5.8,87,"Drama, Horror, Thriller",,,,,,,
Rammbock: Berlin Undead,2010-09-09,6.0,63,"Horror, Thriller",,,,,,,
The Hollow,2015-10-24,4.7,90,"Horror, TV Movie",,,,,,,
Bit,2019-05-24,5.1,90,"Comedy, Horror",,,,,,,
Snowbeast,1977-04-28,4.2,86,Horror,,,,,,,
Death Valley,2021-11-18,4.5,93,"Action, Horror, Science Fiction",,,,,,,
The House That Dripped Blood,1971-02-22,6.4,102,"Horror, Mystery",,,,,,,
Re-Kill,2015-10-16,5.1,87,"Horror, Science Fiction",,,,,,,
Among the Living,2014-03-10,5.2,88,"Horror, Mystery, Thriller",,,,,,,
The Zombie Apocalypse in Apartment 14F,2019-11-26,6.0,0,"Comedy, Horror",,,,,,,
Grizzly Park,2008-02-07,4.6,91,"Comedy, Horror",,,,,,,
Lightning Bug,2004-04-09,6.3,97,"Drama, Horror, Thriller",,,,,,,
Gremlin,2017-01-11,4.0,90,Horror,,,,,,,
Baby Blood,1990-01-24,6.1,82,"Comedy, Horror",,,,,,,
Alien 2: On Earth,1980-04-11,3.1,84,"Horror, Science Fiction",,,,,,,
Shogun's Joy of Torture,1968-09-28,5.4,96,"Drama, Horror",,,,,,,
Abominable,2006-04-10,5.0,94,"Horror, Thriller",,,,,,,
House of Usher,1960-06-22,6.6,79,"Drama, Horror",,,,,,,
Neon Maniacs,1986-11-14,5.5,91,Horror,,,,,,,
Spiders II: Breeding Ground,2001-01-01,4.4,96,"Horror, Science Fiction",,,,,,,
Alienate,2016-02-22,4.1,90,"Drama, Horror, Science Fiction",,,,,,,
Puppet Master: Axis Termination,2017-09-15,4.8,75,"Fantasy, Horror",,,,,,,
House of Mortal Sin,1976-02-03,6.7,104,Horror,,,,,,,
Lisa and the Devil,1973-05-08,6.2,95,"Fantasy, Horror",,,,,,,
Island of Death,1976-04-26,4.7,108,"Horror, Thriller",,,,,,,
It Came from Beneath the Sea,1955-07-01,5.6,79,"Adventure, Horror, Science Fiction",,,,,,,
My Little Sister,2016-07-16,5.1,80,Horror,,,,,,,
Transylmania,2009-12-04,4.3,92,"Comedy, Horror",,,,,,,
Fertile Ground,2011-01-28,4.2,95,Horror,,,,,,,
13Hrs,2010-08-28,4.5,81,"Action, Horror",,,,,,,
The Red Queen Kills Seven Times,1972-08-18,6.8,100,"Horror, Mystery, Thriller",,,,,,,
The Killer Shrews,1959-06-25,4.4,69,"Horror, Science Fiction",,,,,,,
The Row,2018-07-27,4.7,85,"Horror, Thriller",,,,,,,
Antibodies,2005-04-24,6.8,127,"Crime, Drama, Horror, Thriller",,,,,,,
Scream Week,2016-01-28,5.0,0,"Comedy, Horror, Thriller",,,,,,,
Dead Sushi,2012-09-21,5.9,90,"Action, Comedy, Horror",,,,,,,
Carry On Screaming,1966-05-20,6.6,87,"Comedy, Horror",,,,,,,
Acacia,2003-10-17,5.6,102,Horror,,,,,,,
Mother's Day,1980-09-19,5.7,90,"Action, Horror",,,,,,,
Tank 432,2015-10-24,4.0,84,"Action, Horror, Thriller",,,,,,,
Krocodylus,2000-12-04,4.7,89,"Comedy, Horror",,,,,,,
Extremity,2018-09-17,5.9,103,Horror,,,,,,,
Kraken: Tentacles of the Deep,2006-09-23,4.0,88,"Action, Horror, Science Fiction, TV Movie",,,,,,,
The Cannibal in the Jungle,2015-04-27,6.2,84,"Crime, Horror, Science Fiction",,,,,,,
Strip Nude for Your Killer,1975-08-24,5.3,98,"Horror, Thriller",,,,,,,
Big Monster on Campus,2000-02-25,5.5,92,"Comedy, Horror",,,,,,,
Sometimes They Come Back... for More,1998-09-06,4.4,89,Horror,,,,,,,
Visitors,2003-11-27,5.2,100,"Horror, Mystery, Thriller",,,,,,,
Bundy: A Legacy of Evil,2009-07-21,4.0,95,"Crime, Drama, Horror, Thriller",,,,,,,
What Josiah Saw,2021-08-13,6.0,120,"Horror, Thriller",,,,,,,
The Zombie Diaries 2,2011-06-24,4.7,92,"Action, Horror",,,,,,,
Scarecrow Slayer,2003-08-12,2.6,90,"Action, Drama, Horror",,,,,,,
The Cellar,1989-11-04,4.0,86,Horror,,,,,,,
Cast a Deadly Spell,1991-01-01,6.3,96,"Comedy, Fantasy, Horror, Mystery, TV Movie",,,,,,,
Embodiment of Evil,2008-08-08,5.0,93,Horror,,,,,,,
Strippers vs. Werewolves,2012-04-27,4.2,93,"Action, Comedy, Crime, Fantasy, Horror",,,,,,,
Troublesome Night 4,1998-08-22,2.3,97,"Comedy, Horror",,,,,,,
Jigoku,1960-07-30,6.5,99,"Drama, Horror",,,,,,,
Don't Hug Me I'm Scared 3,2014-10-31,7.1,7,"Animation, Fantasy, Horror, Music",,,,,,,
"Nightmares in Red, White and Blue",2009-08-06,6.7,96,"Documentary, Horror",,,,,,,
Grim,1995-01-01,4.0,86,Horror,,,,,,,
Tale of the Mummy,1998-03-19,4.4,88,"Adventure, Fantasy, Horror",,,,,,,
Bunshinsaba: Ouija Board,2004-08-05,6.2,92,Horror,,,,,,,
Hellbound,1994-01-21,5.4,95,"Action, Horror, Thriller",,,,,,,
The Sonata,2018-11-15,4.8,87,"Horror, Mystery, Thriller",,,,,,,
Sadako 3D 2,2013-08-30,4.9,96,Horror,,,,,,,
Baron Blood,1972-02-25,6.1,98,Horror,,,,,,,
Killjoy,2000-10-24,2.9,89,Horror,,,,,,,
Creature,1985-05-08,4.6,97,"Horror, Science Fiction",,,,,,,
Genocyber,1994-03-02,4.9,145,"Animation, Horror, Science Fiction",,,,,,,
The Awakening,1980-07-31,5.5,105,Horror,,,,,,,
The Evil of Frankenstein,1964-05-08,6.1,86,"Horror, Science Fiction",,,,,,,
Deep Fear,2022-07-10,4.4,80,Horror,,,,,,,
The Bunnyman Massacre,2014-04-18,6.0,90,Horror,,,,,,,
Long Weekend,2009-08-14,5.1,87,"Drama, Horror, Thriller",,,,,,,
The Hunchback,1997-03-16,5.8,98,"Drama, Horror, Romance, TV Movie",,,,,,,
The Dead Room,2015-10-01,5.1,80,"Horror, Thriller",,,,,,,
Invasion of the Bee Girls,1973-06-01,4.3,85,"Horror, Science Fiction, Thriller",,,,,,,
Blood Punch,2014-02-21,6.4,104,"Horror, Thriller",,,,,,,
Asylum: Twisted Horror & Fantasy Tales,2020-07-02,6.1,105,"Comedy, Horror, Science Fiction",,,,,,,
Jack and Jill,2021-09-17,5.6,90,"Drama, Horror",,,,,,,
I Sell the Dead,2008-08-07,6.1,85,"Comedy, Drama, Horror",,,,,,,
AVH: Alien vs. Hunter,2007-12-18,2.3,85,"Action, Horror, Science Fiction",,,,,,,
Naked Fear,2007-04-01,5.3,104,"Horror, Thriller",,,,,,,
The Wicked,2013-03-20,4.2,105,"Fantasy, Horror, Thriller",,,,,,,
White of the Eye,1987-06-19,5.7,111,"Horror, Thriller",,,,,,,
Redneck Zombies,1989-02-14,4.1,84,"Comedy, Horror",,,,,,,
Hospital,2020-12-31,5.9,89,"Horror, Thriller",,,,,,,
House IV: The Repossession,1992-01-21,4.8,94,"Horror, Thriller",,,,,,,
The Case of the Bloody Iris,1972-08-04,6.2,94,"Horror, Thriller",,,,,,,
Halloween with the Addams Family,1977-10-30,6.3,74,"Comedy, Horror, TV Movie",,,,,,,
Retro Puppet Master,1999-11-09,4.3,80,Horror,,,,,,,
Almost Human,2013-09-19,4.7,80,"Horror, Science Fiction",,,,,,,
The Eternal Evil of Asia,1995-08-04,5.1,89,"Action, Horror, Science Fiction",,,,,,,
Bloodsucking Bastards,2015-08-28,5.5,84,"Comedy, Horror",,,,,,,
Jurassic Shark,2012-09-21,2.6,75,"Action, Horror, Science Fiction",,,,,,,
Brain Sex,1988-12-23,6.1,63,"Crime, Drama, Horror",,,,,,,
Slaughterhouse,1987-08-28,5.3,85,Horror,,,,,,,
Lifechanger,2018-10-01,5.9,84,"Horror, Thriller",,,,,,,
Fire Serpent,2007-02-24,4.3,89,"Action, Horror, Science Fiction, TV Movie",,,,,,,
Disaster L.A.: The Last Zombie Apocalypse Begins Here,2014-09-16,5.6,82,"Action, Horror, Science Fiction",,,,,,,
Axe Giant - The Wrath of Paul Bunyan,2013-04-25,4.0,90,"Fantasy, Horror",,,,,,,
Dawning of the Dead,2017-12-05,4.2,105,Horror,,,,,,,
Scissors,1991-03-22,4.9,105,"Drama, Horror, Thriller",,,,,,,
The Snare,2017-01-06,4.6,90,"Horror, Thriller",,,,,,,
The Curse of Halloween Jack,2019-10-01,4.3,81,Horror,,,,,,,
The Russian Bride,2019-06-04,5.2,91,"Horror, Thriller",,,,,,,
Dr Jekyll & Sister Hyde,1971-10-17,6.0,97,Horror,,,,,,,
Narcosatánicos Diabólicos,1991-03-07,6.8,0,Horror,,,,,,,
The Attic,2008-01-15,3.5,88,"Horror, Thriller",,,,,,,
I Trapped the Devil,2019-04-26,5.0,84,"Drama, Horror, Mystery",,,,,,,
Stage Fright,2014-04-03,5.5,89,Horror,,,,,,,
Killer Toon,2013-06-27,6.8,104,"Horror, Thriller",,,,,,,
Eerie,2018-12-03,5.4,101,"Crime, Horror, Thriller",,,,,,,
Tell Me Something,1999-11-13,6.1,118,"Crime, Horror, Mystery, Thriller",,,,,,,
Outpost: Black Sun,2012-01-01,5.1,101,"Action, Horror",,,,,,,
Giallo in Venice,1979-12-31,5.7,91,"Crime, Horror, Mystery, Thriller",,,,,,,
The Video Dead,1987-11-06,5.2,90,"Comedy, Horror",,,,,,,
Bluebeard,1972-09-01,5.2,125,"Horror, Mystery, Thriller",,,,,,,
Penance Lane,2020-04-21,5.8,84,Horror,,,,,,,
The Visitation,2006-02-28,4.8,103,"Drama, Horror, Science Fiction, Thriller",,,,,,,
Long Weekend,1979-03-29,6.2,92,"Horror, Mystery, Thriller",,,,,,,
The Killing Floor,2007-05-10,5.4,94,"Crime, Horror, Thriller",,,,,,,
Curse of the Puppet Master,1998-05-26,4.6,78,Horror,,,,,,,
Gutterballs,2008-01-18,4.5,96,Horror,,,,,,,
The Black Scorpion,1957-10-11,5.2,88,"Horror, Science Fiction",,,,,,,
They Nest,2000-07-25,5.6,92,"Horror, Science Fiction, TV Movie",,,,,,,
"Die, Monster, Die!",1965-10-26,5.7,80,"Horror, Science Fiction",,,,,,,
The Wizard of Gore,1970-10-23,5.6,95,Horror,,,,,,,
Dark Summer,2015-01-09,4.4,81,"Horror, Thriller",,,,,,,
The Ogre,1989-02-01,5.4,94,"Horror, TV Movie",,,,,,,
Martian Land,2015-10-06,3.4,90,"Action, Adventure, Horror, Science Fiction",,,,,,,
Clowntergeist,2017-09-12,3.7,80,Horror,,,,,,,
Alma,2009-01-01,7.0,6,"Animation, Fantasy, Horror",,,,,,,
